update,total_steps,mean_reward,eval_return
10,20480,-inf,-21.0
20,40960,-inf,-21.0
30,61440,-inf,-21.0
40,81920,-inf,-21.0
50,102400,-inf,-20.6
60,122880,-inf,-21.0
70,143360,-inf,-21.0
80,163840,-inf,-21.0
90,184320,-inf,-21.0
100,204800,-inf,-21.0
110,225280,-inf,-21.0
120,245760,-inf,-21.0
130,266240,-inf,-19.2
140,286720,-inf,-21.0
150,307200,-inf,-21.0
160,327680,-inf,-21.0
170,348160,-inf,-21.0
180,368640,-inf,-20.8
190,389120,-inf,-21.0
200,409600,-inf,-20.8
210,430080,inf,-20.6
220,450560,-inf,-21.0
230,471040,-inf,-21.0
240,491520,-inf,-21.0
250,512000,-inf,-21.0
260,532480,-inf,-20.8
270,552960,-inf,-21.0
280,573440,-inf,-20.6
290,593920,-inf,-21.0
300,614400,-inf,-21.0
310,634880,-inf,-20.8
320,655360,-inf,-20.8
330,675840,-inf,-20.6
340,696320,-inf,-21.0
350,716800,-inf,-21.0
360,737280,-inf,-20.8
370,757760,-inf,-20.4
380,778240,-inf,-21.0
390,798720,-inf,-20.4
400,819200,-inf,-21.0
410,839680,-inf,-21.0
420,860160,-inf,-21.0
430,880640,-inf,-21.0
440,901120,-inf,-21.0
450,921600,-inf,-20.8
460,942080,-inf,-21.0
470,962560,-inf,-21.0
480,983040,-inf,-21.0
490,1003520,inf,-21.0
500,1024000,-inf,-20.8
510,1044480,-inf,-21.0
520,1064960,-inf,-21.0
530,1085440,-inf,-21.0
540,1105920,-inf,-20.4
550,1126400,-inf,-20.8
560,1146880,-inf,-21.0
570,1167360,inf,-20.8
580,1187840,-inf,-21.0
590,1208320,-inf,-20.6
600,1228800,-inf,-20.4
610,1249280,-inf,-20.2
620,1269760,-inf,-20.6
630,1290240,-inf,-20.2
640,1310720,-inf,-20.8
650,1331200,-inf,-20.4
660,1351680,-inf,-16.4
670,1372160,-inf,-20.8
680,1392640,-inf,-21.0
690,1413120,-inf,-16.4
700,1433600,-inf,-21.0
710,1454080,-inf,-20.4
720,1474560,-inf,-20.8
730,1495040,-inf,-21.0
740,1515520,-inf,-20.4
750,1536000,-inf,-20.6
760,1556480,-inf,-21.0
770,1576960,-inf,-21.0
780,1597440,-inf,-21.0
790,1617920,-inf,-21.0
800,1638400,-inf,-21.0
810,1658880,-inf,-21.0
820,1679360,-inf,-21.0
830,1699840,-inf,-21.0
840,1720320,-inf,-21.0
850,1740800,-inf,-21.0
860,1761280,-inf,-21.0
870,1781760,-inf,-21.0
880,1802240,-inf,-21.0
890,1822720,-inf,-21.0
900,1843200,-inf,-20.8
910,1863680,-inf,-12.6
920,1884160,-inf,-21.0
930,1904640,-inf,-20.2
940,1925120,-inf,-20.8
950,1945600,-inf,-20.6
960,1966080,-inf,-20.4
970,1986560,-inf,-20.6
